Year,"Nawiliwili, HI","Honolulu, HI","Mokuoloe, HI","Kahului, HI","Kawaihae, HI","Hilo, HI",Midway Island,"Apra Harbor, Guam","Pago Pago, American Samoa ",Kwajalein Island,Wake Island,"Bar Harbor, ME","Portland, ME","Boston, MA","Woods Hole, MA","Nantucket Island, MA","Newport, RI","Providence, RI","New London, CT","Bridgeport, CT","Montauk, NY","Kings Point, NY","The Battery, NY","Bergen Point, NY","Sandy Hook, NJ","Atlantic City, NJ","Cape May, NJ","Philadelphia, PA","Reedy Point, DE","Lewes, DE","Cambridge, MD","Tolchester Beach, MD","Baltimore, MD","Annapolis, MD","Solomons Island, MD","Washington, DC","Wachapreague, VA","Kiptopeke, VA","Lewisetta, VA","Windmill Point, VA","Sewells Point, VA","Chesapeake Bay Bridge, VA","Duck, NC","Oregon Inlet, NC ","Beaufort, NC","Wilmington, NC","Springmaid Pier, SC","Charleston, SC","Fort Pulaski, GA","Fernandina Beach, FL","Mayport, FL","Trident Pier, FL","Virginia Key, FL","Vaca Key, FL","Key West, FL","Naples, FL","Fort Myers, FL","St. Petersburg, FL","Clearwater, FL","Cedar Key, FL","Apalachicola, FL","Panama City, FL","Panama City Beach, FL","Pensacola, FL","Dauphin Island, AL","Bay Waveland, MS","Grand Isle, LA","Sabine Pass, TX","Morgans Point, TX","Eagle Point, TX","Galveston Pier 21, TX","Rockport, TX","Corpus Christi, TX","Port Isabel, TX","San Diego, CA","La Jolla, CA","Los Angeles, CA","Santa Monica, CA","Port San Luis, CA","Monterey, CA","San Francisco, CA","Alameda, CA","Point Reyes, CA","Port Chicago, CA","Arena Cove, CA","Humboldt Bay, CA","Port Orford, CA","Charleston, OR","South Beach, OR","Toke Point,WA","Port Angeles, WA","Port Townsend, WA","Seattle, WA","Cherry Point, WA","Friday Harbor, WA","Lime Tree Bay, VI","Charlotte Amalie, VI","San Juan, PR","Magueyes Island, PR"
1972,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,0,NaN,4,5,NaN,2,4,8,9,5,NaN,NaN,3,NaN,3,3,2,6,NaN,5,NaN,NaN,2,0,NaN,6,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,0,NaN,0,1,NaN,0,NaN,NaN,NaN,0,1,NaN,1,NaN,3,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,1,NaN,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,7,9,NaN,NaN,1,1,4,1,NaN,NaN,NaN,0
1973,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,1,1,4,NaN,0,0,0,0,1,0,3,NaN,NaN,2,2,1,3,NaN,3,NaN,NaN,1,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,0,1,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,3,0,NaN,0,0,NaN,2,NaN,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,4,6,12,NaN,7,3,10,5,NaN,NaN,NaN,0
1974,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,1,1,1,0,2,3,2,1,NaN,NaN,0,NaN,1,NaN,0,2,NaN,NaN,NaN,NaN,2,2,NaN,3,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,1,1,1,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,4,NaN,0,0,0,0,NaN,NaN,NaN,0
1975,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,2,2,1,0,2,1,1,1,2,1,1,NaN,1,0,0,0,NaN,0,NaN,NaN,0,0,NaN,3,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,0,0,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,13,NaN,NaN,0,NaN,1,NaN,NaN,NaN,0
1976,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,21,6,3,0,0,0,2,2,1,1,3,NaN,NaN,0,2,0,1,NaN,0,NaN,NaN,1,0,NaN,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,1,1,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,1,6,NaN,NaN,0,NaN,0,NaN,NaN,NaN,0
1977,0,0,NaN,0,NaN,0,1,0,NaN,0,0,30,11,5,5,1,5,5,NaN,4,5,7,9,NaN,6,5,1,2,NaN,2,NaN,NaN,1,0,NaN,2,NaN,NaN,NaN,NaN,3,3,NaN,2,0,0,0,0,1,NaN,0,NaN,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,2,0,NaN,1,NaN,3,2,0,NaN,4,NaN,NaN,NaN,NaN,NaN,15,27,NaN,NaN,7,7,6,NaN,NaN,NaN,0
1978,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,9,9,7,3,1,2,3,NaN,4,2,5,4,NaN,3,1,0,5,NaN,1,NaN,NaN,0,0,NaN,3,2,NaN,NaN,NaN,0,0,0,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,NaN,2,NaN,NaN,NaN,NaN,0,0,NaN,0,1,NaN,NaN,NaN,0,0,0,NaN,0,NaN,NaN,0,NaN,0,1,5,NaN,NaN,0,NaN,0,NaN,NaN,0,0
1979,0,0,NaN,0,NaN,0,NaN,0,0,0,0,2,2,0,1,0,0,5,2,1,0,1,3,NaN,2,1,0,1,NaN,0,1,NaN,1,1,1,2,0,0,0,NaN,0,0,0,1,0,0,1,2,1,NaN,0,NaN,NaN,0,0,0,0,0,NaN,0,2,NaN,NaN,2,NaN,5,NaN,NaN,NaN,NaN,0,0,NaN,0,1,0,NaN,0,1,0,1,NaN,2,NaN,NaN,0,NaN,0,5,16,NaN,NaN,1,NaN,1,NaN,NaN,0,NaN
1980,0,0,NaN,0,NaN,0,0,0,0,0,0,3,3,2,0,0,2,2,0,1,0,1,2,NaN,NaN,1,1,1,NaN,1,2,NaN,0,0,0,0,1,1,0,NaN,0,0,0,NaN,0,0,1,0,0,NaN,0,NaN,NaN,0,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,1,4,NaN,2,0,0,0,1,0,0,0,0,0,0,3,0,NaN,4,3,NaN,1,1,0,3,1,NaN,NaN,0,0
1981,0,0,0,0,NaN,0,0,0,NaN,0,NaN,5,4,4,0,0,0,0,0,0,0,1,1,NaN,1,3,3,0,0,3,0,NaN,0,0,0,0,3,4,0,NaN,4,4,5,NaN,0,0,4,1,3,NaN,0,NaN,NaN,0,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,0,1,0,0,0,0,1,0,3,NaN,NaN,10,10,12,6,3,2,5,5,NaN,NaN,NaN,NaN
